PassengerId,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Survived
804,3,0,0.42,0,1,2625,8.5167,0,1
756,2,0,0.67,1,1,250649,14.5,2,1
470,3,1,0.75,2,1,2666,19.2583,0,1
645,3,1,0.75,2,1,2666,19.2583,0,1
79,2,0,0.83,0,2,248738,29,2,1
832,2,0,0.83,1,1,29106,18.75,2,1
306,1,0,0.92,1,2,113781,151.55,2,1
165,3,0,1,4,1,3101295,39.6875,2,-1
173,3,1,1,1,1,347742,11.1333,2,1
184,2,0,1,2,1,230136,39,2,1
382,3,1,1,0,2,2653,15.7417,0,1
387,3,0,1,5,2,2144,46.9,2,-1
789,3,0,1,1,2,2315,20.575,2,1
828,2,0,1,0,2,2079,37.0042,0,1
8,3,0,2,3,1,349909,21.075,2,-1
17,3,0,2,4,1,382652,29.125,1,-1
120,3,1,2,4,2,347082,31.275,2,-1
206,3,1,2,0,1,347054,10.4625,2,-1
298,1,1,2,1,2,113781,151.55,2,-1
341,2,0,2,1,1,230080,26,2,1
480,3,1,2,0,1,3101298,12.2875,2,1
531,2,1,2,1,1,26360,26,2,1
643,3,1,2,3,2,347088,27.9,2,-1
825,3,0,2,4,1,3101295,39.6875,2,-1
44,2,1,3,1,2,2123,41.5792,0,1
194,2,0,3,1,1,230080,26,2,1
262,3,0,3,4,2,347077,31.3875,2,1
349,3,0,3,1,1,37671,15.9,2,1
375,3,1,3,3,1,349909,21.075,2,-1
408,2,0,3,1,1,29106,18.75,2,1
11,3,1,4,1,1,9549,16.7,2,1
64,3,0,4,3,2,347088,27.9,2,-1
172,3,0,4,4,1,382652,29.125,1,-1
185,3,1,4,0,2,315153,22.025,2,1
446,1,0,4,0,2,33638,81.8583,2,1
619,2,1,4,2,1,230136,39,2,1
692,3,1,4,0,1,349256,13.4167,0,1
751,2,1,4,1,1,29103,23,2,1
851,3,0,4,4,2,347082,31.275,2,-1
870,3,0,4,1,1,347742,11.1333,2,1
59,2,1,5,1,2,34651,27.75,2,1
234,3,1,5,4,2,347077,31.3875,2,1
449,3,1,5,2,1,2666,19.2583,0,1
778,3,1,5,0,0,364516,12.475,2,1
721,2,1,6,0,1,248727,33,2,1
752,3,0,6,0,1,392096,12.475,2,1
814,3,1,6,4,2,347082,31.275,2,-1
51,3,0,7,4,1,3101295,39.6875,2,-1
279,3,0,7,4,1,382652,29.125,1,-1
536,2,1,7,0,2,13529,26.25,2,1
25,3,1,8,3,1,349909,21.075,2,-1
238,2,1,8,0,2,31921,26.25,2,1
550,2,0,8,1,1,33112,36.75,2,1
788,3,0,8,4,1,382652,29.125,1,-1
148,3,1,9,2,2,6608,34.375,2,-1
166,3,0,9,0,2,363291,20.525,2,1
183,3,0,9,4,2,347077,31.3875,2,-1
481,3,0,9,5,2,2144,46.9,2,-1
490,3,0,9,1,1,37671,15.9,2,1
542,3,1,9,4,2,347082,31.275,2,-1
635,3,1,9,3,2,347088,27.9,2,-1
853,3,1,9,1,1,2678,15.2458,0,-1
420,3,1,10,0,2,345773,24.15,2,-1
820,3,0,10,3,2,347088,27.9,2,-1
60,3,0,11,5,2,2144,46.9,2,-1
543,3,1,11,4,2,347082,31.275,2,-1
732,3,0,11,0,0,2699,18.7875,0,-1
803,1,0,11,1,2,113760,120,2,1
126,3,0,12,1,0,2651,11.2417,0,1
447,2,1,13,0,1,250644,19.5,2,1
781,3,1,13,0,0,2687,7.2292,0,1
10,2,1,14,1,0,237736,30.0708,0,1
15,3,1,14,0,0,350406,7.8542,2,-1
40,3,1,14,1,0,2651,11.2417,0,1
436,1,1,14,1,2,113760,120,2,1
684,3,0,14,5,2,2144,46.9,2,-1
687,3,0,14,4,1,3101295,39.6875,2,-1
112,3,1,14.5,1,0,2665,14.4542,0,-1
23,3,1,15,0,0,330923,8.0292,1,1
353,3,0,15,1,1,2695,7.2292,0,-1
690,1,1,15,0,1,24160,211.3375,2,1
831,3,1,15,1,0,2659,14.4542,0,1
876,3,1,15,0,0,2667,7.225,0,1
72,3,1,16,5,2,2144,46.9,2,-1
87,3,0,16,1,3,6608,34.375,2,-1
139,3,0,16,0,0,7534,9.2167,2,-1
157,3,1,16,0,0,35851,7.7333,1,1
209,3,1,16,0,0,367231,7.75,1,1
221,3,0,16,0,0,392089,8.05,2,1
267,3,0,16,4,1,3101295,39.6875,2,-1
283,3,0,16,0,0,345778,9.5,2,-1
330,1,1,16,0,1,111361,57.9792,0,1
334,3,0,16,2,0,345764,18,2,-1
505,1,1,16,0,0,110152,86.5,2,1
575,3,0,16,0,0,4,8.05,2,-1
747,3,0,16,1,1,2673,20.25,2,-1
765,3,0,16,0,0,347074,7.775,2,-1
792,2,0,16,0,0,239865,26,2,-1
842,2,0,16,0,0,3,10.5,2,-1
854,1,1,16,0,1,17592,39.4,2,1
69,3,1,17,4,2,3101281,7.925,2,1
85,2,1,17,0,0,14885,10.5,2,1
115,3,1,17,0,0,2627,14.4583,0,-1
164,3,0,17,0,0,315093,8.6625,2,-1
308,1,1,17,1,0,17758,108.9,0,1
390,2,1,17,0,0,1748,12,0,1
434,3,0,17,0,0,2,7.125,2,-1
501,3,0,17,0,0,315086,8.6625,2,-1
533,3,0,17,1,1,2690,7.2292,0,-1
551,1,0,17,0,2,17421,110.8833,0,1
722,3,0,17,1,0,350048,7.0542,2,-1
782,1,1,17,1,0,17474,57,2,1
845,3,0,17,0,0,315090,8.6625,2,-1
39,3,1,18,2,0,345764,18,2,-1
50,3,1,18,1,0,349237,17.8,2,-1
145,2,0,18,0,0,231945,11.5,2,-1
176,3,0,18,1,1,350404,7.8542,2,-1
205,3,0,18,0,0,5,8.05,2,1
229,2,0,18,0,0,236171,13,2,-1
312,1,1,18,2,2,17608,262.375,0,1
372,3,0,18,1,0,3101267,6.4958,2,-1
386,2,0,18,0,0,14879,73.5,2,-1
418,2,1,18,0,2,250652,13,2,1
425,3,0,18,1,1,370129,20.2125,2,-1
506,1,0,18,1,0,17758,108.9,0,-1
586,1,1,18,0,2,110413,79.65,2,1
652,2,1,18,0,1,231919,23,2,1
655,3,1,18,0,0,365226,6.75,1,-1
676,3,0,18,0,0,349912,7.775,2,-1
678,3,1,18,0,0,4138,9.8417,2,1
689,3,0,18,0,0,350036,7.7958,2,-1
701,1,1,18,1,0,17757,227.525,0,1
703,3,1,18,0,1,2691,14.4542,0,-1
758,2,0,18,0,0,29108,11.5,2,-1
776,3,0,18,0,0,347078,7.75,2,-1
787,3,1,18,0,0,3101265,7.4958,2,1
808,3,1,18,0,0,347087,7.775,2,-1
835,3,0,18,0,0,2223,8.3,2,-1
856,3,1,18,0,1,392091,9.35,2,1
28,1,0,19,3,2,19950,263,2,-1
45,3,1,19,0,0,330958,7.8792,1,1
68,3,0,19,0,0,3464,8.1583,2,-1
137,1,1,19,0,2,11752,26.2833,2,1
144,3,0,19,0,0,365222,6.75,1,-1
146,2,0,19,1,1,33112,36.75,2,-1
192,2,0,19,0,0,28424,13,2,-1
193,3,1,19,1,0,350046,7.8542,2,1
227,2,0,19,0,0,751,10.5,2,1
239,2,0,19,0,0,28665,10.5,2,-1
284,3,0,19,0,0,5,8.05,2,1
292,1,1,19,1,0,11967,91.0792,0,1
303,3,0,19,0,0,0,0,2,-1
373,3,0,19,0,0,323951,8.05,2,-1
380,3,0,19,0,0,347069,7.775,2,-1
428,2,1,19,0,0,250655,26,2,1
547,2,1,19,1,0,2908,26,2,1
567,3,0,19,0,0,349205,7.8958,2,-1
576,3,0,19,0,0,358585,14.5,2,-1
647,3,0,19,0,0,349231,7.8958,2,-1
688,3,0,19,0,0,349228,10.1708,2,-1
716,3,0,19,0,0,348124,7.65,2,-1
749,1,0,19,1,0,113773,53.1,2,-1
878,3,0,19,0,0,349212,7.8958,2,-1
888,1,1,19,0,0,112053,30,2,1
13,3,0,20,0,0,5,8.05,2,-1
92,3,0,20,0,0,347466,7.8542,2,-1
114,3,1,20,1,0,4136,9.825,2,-1
132,3,0,20,0,0,3101307,7.05,2,-1
379,3,0,20,0,0,2648,4.0125,0,-1
405,3,1,20,0,0,315096,8.6625,2,-1
442,3,0,20,0,0,345769,9.5,2,-1
623,3,0,20,1,1,2653,15.7417,0,1
641,3,0,20,0,0,350050,7.8542,2,-1
665,3,0,20,1,0,2,7.925,2,1
683,3,0,20,0,0,6563,9.225,2,-1
726,3,0,20,0,0,315094,8.6625,2,-1
763,3,0,20,0,0,2663,7.2292,0,1
841,3,0,20,0,0,2,7.925,2,-1
877,3,0,20,0,0,7534,9.8458,2,-1
228,3,0,20.5,0,0,5,7.25,2,-1
38,3,0,21,0,0,5,8.05,2,-1
52,3,0,21,0,0,4,7.8,2,-1
57,2,1,21,0,0,31026,10.5,2,1
73,2,0,21,0,0,14879,73.5,2,-1
103,1,0,21,0,1,35281,77.2875,2,-1
107,3,1,21,0,0,343120,7.65,2,1
116,3,0,21,0,0,2,7.925,2,-1
121,2,0,21,2,0,14879,73.5,2,-1
174,3,0,21,0,0,2,7.925,2,-1
392,3,0,21,0,0,350034,7.7958,2,1
403,3,1,21,1,0,4137,9.825,2,-1
409,3,0,21,0,0,312992,7.775,2,-1
422,3,0,21,0,0,5,7.7333,1,-1
437,3,1,21,2,2,6608,34.375,2,-1
492,3,0,21,0,0,3101317,7.25,2,-1
495,3,0,21,0,0,4,8.05,2,-1
502,3,1,21,0,0,364846,7.75,1,-1
624,3,0,21,0,0,350029,7.8542,2,-1
625,3,0,21,0,0,54636,16.1,2,-1
628,1,1,21,0,0,13502,77.9583,2,1
653,3,0,21,0,0,8475,8.4333,2,-1
743,1,1,21,2,2,17608,262.375,0,1
837,3,0,21,0,0,315097,8.6625,2,-1
862,2,0,21,1,0,28134,11.5,2,-1
1,3,0,22,1,0,21171,7.25,2,-1
61,3,0,22,0,0,2669,7.2292,0,-1
81,3,0,22,0,0,345767,9,2,-1
113,3,0,22,0,0,324669,8.05,2,-1
142,3,1,22,0,0,347081,7.75,2,1
152,1,1,22,1,0,113776,66.6,2,1
213,3,0,22,0,0,5,7.25,2,-1
226,3,0,22,0,0,4348,9.35,2,-1
244,3,0,22,0,0,2,7.125,2,-1
288,3,0,22,0,0,349206,7.8958,2,-1
290,3,1,22,0,0,370373,7.75,1,1
321,3,0,22,0,0,5,7.25,2,-1
324,2,1,22,1,1,248738,29,2,1
357,1,1,22,0,1,113505,55,2,1
374,1,0,22,0,0,17760,135.6333,0,-1
377,3,1,22,0,0,7077,7.25,2,1
396,3,0,22,0,0,350052,7.7958,2,-1
475,3,1,22,0,0,7553,9.8375,2,-1
479,3,0,22,0,0,350060,7.5208,2,-1
522,3,0,22,0,0,349252,7.8958,2,-1
540,1,1,22,0,2,13568,49.5,0,1
554,3,0,22,0,0,2620,7.225,0,1
555,3,1,22,0,0,347085,7.775,2,1
589,3,0,22,0,0,14973,8.05,2,-1
609,2,1,22,1,2,2123,41.5792,0,1
709,1,1,22,0,0,113781,151.55,2,1
883,3,1,22,0,0,7552,10.5167,2,-1
89,1,1,23,3,2,19950,263,2,1
98,1,0,23,0,1,17759,63.3583,0,1
136,2,0,23,0,0,2133,15.0458,0,-1
351,3,0,23,0,0,7267,9.225,2,-1
394,1,1,23,1,0,35273,113.275,0,1
399,2,0,23,0,0,244278,10.5,2,-1
474,2,1,23,0,0,541,13.7917,0,1
530,2,0,23,2,1,29104,11.5,2,-1
650,3,1,23,0,0,2314,7.55,2,1
659,2,0,23,0,0,29751,13,2,-1
734,2,0,23,0,0,28425,13,2,-1
735,2,0,23,0,0,233639,13,2,-1
754,3,0,23,0,0,349204,7.8958,2,-1
817,3,1,23,0,0,2,7.925,2,-1
834,3,0,23,0,0,347468,7.8542,2,-1
297,3,0,23.5,0,0,2693,7.2292,0,-1
90,3,0,24,0,0,343275,8.05,2,-1
119,1,0,24,0,1,17558,247.5208,0,-1
128,3,0,24,0,0,17369,7.1417,2,1
140,1,0,24,0,0,17593,79.2,0,-1
143,3,1,24,1,0,2,15.85,2,1
200,2,1,24,0,0,248747,13,2,-1
211,3,0,24,0,0,3101311,7.05,2,-1
235,2,0,24,0,0,29566,10.5,2,-1
248,2,1,24,0,2,250649,14.5,2,1
294,3,1,24,0,0,349236,8.85,2,-1
295,3,0,24,0,0,349233,7.8958,2,-1
311,1,1,24,0,0,11767,83.1583,0,1
317,2,1,24,1,0,244367,26,2,1
342,1,1,24,3,2,19950,263,2,1
346,2,1,24,0,0,248733,13,2,1
370,1,1,24,0,0,17477,69.3,0,1
395,3,1,24,0,2,9549,16.7,2,1
